,index1
1,52395
2,56804
3,46854
4,5513
5,5390
6,5712
7,6527
8,5570
9,4851
10,6053
11,11919
12,16056
13,16042
14,17028
15,17099
16,17026
17,17027
18,17030
19,6190
20,7344
21,5958
22,6571
23,8648
24,4525
25,5606
26,5727
27,4196
28,3220
29,4501
30,4188
31,5848
32,4762
33,6233
34,3720
35,5837
36,5270
37,17240
38,27902
39,16401
40,17529
41,17416
42,12276
43,14947
44,18611
45,23585
46,26330
47,24042
48,6072
49,6609
50,6004
51,9335
52,4798
53,2870
54,5919
55,21033
56,11174
57,16075
58,12287
59,35474
60,52870
61,57058
62,43882
63,31334
64,38570
65,7015
66,8018
67,7029
68,6538
69,8519
70,52645
71,52692
72,52724
73,69450
74,12677
75,13726
76,131098
77,110798
78,110340
79,116253
80,140281
81,68550
82,128563
83,143476
84,35817
85,35820
