,number,w,name,rate,begin,end,index1,value1,index2,value2
1,1,214,orig_np_novelty,1.93747879,52181,52609,52395,4.167674193,66897,2.151081196
2,2,214,orig_p2p_inv,5.352843411,56590,57018,56804,6.393649621,65528,1.194439876
3,3,124,orig_np_outlier,2.218602367,46657,46905,46781,3.525391473,67092,1.589014564
4,4,50,orig_p2p_inv,3.252006224,5467,5567,5517,5.861983091,5867,1.802574376
5,5,50,acc_p2p,1.77166044,5340,5440,5390,24.30845576,2232,13.7207194
6,6,60,orig_mp_novelty,1.468514672,5652,5772,5712,4.919116938,5359,3.349722705
7,7,60,orig_mp_novelty,2.005199359,6466,6586,6526,6.72213747,5361,3.352353689
8,8,50,acc_std,3.848964192,5520,5620,5570,6.794273278,2407,1.765221223
9,9,371,acc_p2p,1.895838218,4480,5222,4851,27.12846947,2232,14.30948549
10,10,371,acc_p2p,2.576178902,5682,6424,6053,36.9425696,2232,14.34006372
11,11,60,orig_np_outlier,3.427820709,11853,11973,11913,5.292845205,8914,1.54408461
12,12,50,orig_np_outlier,2.708887717,16004,16104,16054,3.954635215,15661,1.459874173
13,13,86,orig_mp_novelty,5.448779363,15937,16109,16023,8.069869899,23704,1.481041782
14,14,86,orig_mp_novelty,5.566498937,16934,17106,17020,8.566927766,23185,1.539015432
15,15,445,acc_p2p,18.14879621,16654,17544,17099,5310.244349,48799,292.5948524
16,16,179,orig_mp_outlier,4.468799441,16847,17205,17026,15.16333729,6503,3.393156818
17,17,179,orig_mp_outlier,4.323376601,16848,17206,17027,15.08205293,6593,3.488489281
18,18,86,orig_mp_novelty,4.783280248,16932,17104,17018,7.484292924,15078,1.564677906
19,19,179,orig_mp_novelty,2.564623902,6009,6367,6188,5.161240977,10162,2.012474801
20,20,214,orig_mp_outlier,6.290785904,7130,7558,7344,11.31196459,10690,1.798179871
21,21,86,orig_mp_novelty,2.510250793,5871,6043,5957,2.928502778,6197,1.166617609
22,22,214,orig_mp_outlier,4.293956477,6357,6785,6571,9.36533766,2299,2.181050905
